Batch number,Y1         ,Y2         ,Y3         ,Y4         ,Y5         ,Y6         ,Y7         ,Y8         ,Y9         ,Y10        ,Y11   ,Solvent Concentration
Batch 28,91.3,1.78,0,0.83,0,98.77,0,0,0.2,26,0.1,4.96
Batch 29,91.11,,0,0.26,0.06,99.01,0,0,0.23,23,0.08,4.82
Batch 30,90.44,,0,0.94,0.15,98.46,0,0,0.29,25,0.1,4.84
Batch 31,91.06,,,0.46,,97.52,0,0,0.39,28,0.03,4.83
Batch 32,91.27,,0.04,0.65,0.06,98.93,0,0,0.22,27,0.03,4.98
Batch 33,90.93,,0.04,0.46,0.11,98.99,0,0,0.2,26,0.1,4.88
Batch 34,92.22,4.09,0.08,0.6,0.07,98.82,0.04,0,0.21,34,2.98,4.3
Batch 35,92.93,3.6,0.07,0.57,0.05,99.05,0.05,0,0.21,30.44,2.24,4.74
Batch 36,92.81,2.88,0.07,0.37,0.11,99.16,0,0,0.28,26,1.24,4.12
Batch 37,92.69,3.16,0,0.48,0,98.86,0.04,0,0.32,32,1.06,4.8
Batch 38,92.25,3.5,0.09,0.52,0.06,98.85,0.05,0,0.25,34,1.87,4.63
Batch 39,92.39,3.36,0.05,0.42,0.06,99.19,0.03,0,0.25,27,0.75,4.36
Batch 40,92.42,4.25,0,0.29,0,99.4,0,0,0.21,32,0.52,4.7
Batch 41,90.35,2.99,0.09,1.02,0.1,98.32,0.04,0,0.2,31,0.27,4.27
Batch 42,90.39,2.84,0.07,0.69,0.12,98.64,0,0,0.2,31,0.4,4.44
Batch 43,91.83,2.75,0.09,0.83,0.12,98.59,0.04,0,0.18,34,1.69,4.4
Batch 44,91.17,,0.06,0.69,0.08,98.92,0.03,0,0.16,29,0.74,4.42
Batch 45,90.85,3.02,0.09,0.41,0.11,98.95,0.04,0,0.23,40,8.08,4.45
Batch 46,91.95,2.27,0.05,0.53,0.08,98.54,0.21,0,0.21,30,1.99,4.25
Batch 47,91.68,2.13,0.09,0.72,0.13,98.68,0.13,0,0.12,37,3.89,4.52
Batch 48,91.14,2.17,0.13,0.52,0.35,98.2,0.09,0,0.05,41,10.76,4.52
Batch 49,90.33,2.35,0.05,0.56,0.12,98.83,0,0.05,0.25,34,1.2,4.6
Batch 50,91.5,1.99,0.09,0.4,0.15,98.67,0.04,0,0.35,34,0.88,4.31
Batch 51,91.4,1.97,0.08,0.81,0.18,98.59,0.03,0,0.16,38,4.54,4.66
Batch 52,91.04,3.83,0.07,0.72,0.14,98.56,0.03,0,0.24,29,3.83,4.55
Batch 53,90.23,2.64,0.12,1.58,0.4,97.33,0,0,0.35,35,5.55,4.83
Batch 54,91.06,2.07,0.07,1.17,0.13,98.07,0,0,0.3,31,4.25,4.64
Batch 55,90.4,2.01,0.16,1.3,0.21,98.01,0.07,0,0.23,38,6.04,4.61
Batch 56,89.91,,0,1.17,0.11,97.84,,0.04,0.17,44,4.65,4.6
Batch 57,89.46,,0.1,1.25,0.16,98.1,0.03,0,0.24,37,2.16,4.61
Batch 58,89.77,,0.11,1.64,0.18,97.52,0.04,0,0.28,37,3.12,4.47
Batch 59,89.04,,0.11,1.64,0.19,97.37,0.04,0,0.29,37,1,4.54
Batch 60,89.97,,0.18,1.55,0.27,97.23,0.07,0,0.31,39,8.04,4.83
Batch 61,89.59,,0.17,1.72,0.26,97.2,0.07,0,0.3,40,8.11,4.83
Batch 62,92.11,4.41,0.08,0.4,0,99.09,0.05,0,0.25,36,0.13,5.21
Batch 63,91.6,2.64,0.07,0.9,0.08,98.63,0.03,0,0.22,31,0.69,5.4
Batch 64,92.7,2.64,0.08,1.23,0.09,98.26,0.03,0,0.2,26.4,0.55,5.4
Batch 65,90.88,1.68,0,0.78,0.1,98.62,0.13,0,0.27,27,0.83,5.14
Batch 66,91.06,1.89,0,0.5,0.06,99.19,0,0,0.24,20,0.07,5.53
Batch 67,91,2.3,0.05,0.51,0.08,99.08,0,0,0.26,30,0.45,5.27
Batch 68,91.14,1.89,0.04,0.68,0.1,98.72,0,0,0.27,23,0.38,5.49
Batch 69,91.17,,0,0.56,0.08,98.87,0,0,0.29,23,0.24,5.5
Batch 70,91.11,,,0.55,0.08,98.76,0,0,0.31,25,0.19,5.42
Batch 71,90.25,1.99,0.06,0.77,0.09,98.77,0,0,0.25,28,1.32,5.28
