Time,A_Feed_S1,D_Feed_S2,E_Feed_S3,Total_Feed_S4,Recycle_Flow_S8,Reactor_Feed_Rate_S6,Reactor_Pressure,Reactor_Level,Reactor_Temperature,Purge_Rate_S9,Product_Sep_Temp,Product_Sep_Level,Prod_Sep_Pressure,Prod_Sep_Underflow_S10,Stripper_Level,Stripper_Pressure,Stripper_Underflow_S11,Stripper_Temp,Stripper_Steam_Flow,Compressor_Work,Reactor_Cooling_Water_Outlet_Temp,Separator_Cooling_Water_Outlet_Temp,Composition_A_S6,Composition_B_S6,Composition_C_S6,Composition_D_S6,Composition_E_S6,Composition_F_S6,Composition_A_S9,Composition_B_S9,Composition_C_S9,Composition_D_S9,Composition_E_S9,Composition_F_S9,Composition_G_S9,Composition_H_S9,Composition_D_S11,Composition_E_S11,Composition_F_S11,Composition_G_S11,Composition_H_S11,D_Feed_Flow_Stream_2,E_Feed_Flow_Stream_3,A_Feed_Flow_Stream_1,Total_Feed_Flow_Stream_4,Compressor_Recycle_Valve,Purge_Valve_Stream_9,Separator_Pot_Liquid_Flow_Stream_10,Stripper_Liquid_Product_Flow_Stream_11,Stripper_Steam_Valve,Reactor_Cooling_Water_Flow,Condensor_Cooling_Water_Flow
11,0.25368,3720,4520.4,9.1128,27.008,42.311,2701.4,74.833,120.42,0.3389,80.035,49.483,2629.8,26.237,50.793,3099.9,23.311,65.741,229.63,340.77,94.506,76.859,31.643,8.9669,26.33,6.8997,19.222,1.6208,33.213,13.878,24.156,1.2378,18.321,2.2197,4.9301,2.3045,0.021595,0.85239,0.11174,52.992,44.572,64.214,53.867,24.885,63.835,21.977,40.91,36.578,48.369,47.447,42.11,17.28
12,0.25118,3703.8,4530.3,9.2568,26.837,42.594,2698.2,74.937,120.42,0.34167,79.818,49.504,2626.6,25.368,48.916,3098,22.824,65.684,230.23,340.4,94.463,76.754,31.643,8.9669,26.33,6.8997,19.222,1.6208,33.213,13.878,24.156,1.2378,18.321,2.2197,4.9301,2.3045,0.021595,0.85239,0.11174,52.992,44.572,64.494,53.749,25.13,62.991,21.7,40.573,36.641,44.025,47.375,41.654,18.475
13,0.30167,3664.2,4501.9,9.3982,26.937,42.317,2698.3,75.277,120.38,0.34929,79.9,49.774,2626.9,27.297,51.027,3096.9,22.054,65.624,231.51,340.22,94.52,77.254,31.722,8.979,26.313,7.0564,18.945,1.6519,33.228,13.762,23.891,1.3942,18.75,2.2762,4.7612,2.2707,0.021595,0.85239,0.11174,52.992,44.572,63.252,53.062,29.92,59.504,21.938,40.364,37.435,48.91,47.246,40.683,20.291
14,0.30134,3673.7,4458.5,9.3277,27.09,42.2,2701.2,75.037,120.42,0.34359,80.257,50.703,2630.2,22.97,50.146,3098.2,23.56,65.654,229.62,340.81,94.569,77.64,31.722,8.979,26.313,7.0564,18.945,1.6519,33.228,13.762,23.891,1.3942,18.75,2.2762,4.7612,2.2707,0.021595,0.85239,0.11174,52.992,44.572,63.088,53.582,29.952,59.801,22.216,41.059,40.17,46.872,47.395,41.106,16.671
15,0.30038,3605.4,4438.1,9.194,26.862,41.931,2703.1,75.246,120.38,0.33008,80.452,50.76,2631.3,25.555,49.391,3100.5,23.251,65.765,229.75,340.33,94.574,77.435,31.94,8.9819,26.495,6.8894,19.275,1.6633,33.242,14.05,24.201,1.0786,19.407,2.2677,4.819,2.3197,0.021595,0.85239,0.11174,52.992,44.572,62.798,54.454,29.591,62.168,21.853,39.586,40.337,45.124,47.356,40.541,17.395
16,0.30074,3622.1,4503.8,9.3938,26.678,42.389,2702.4,74.718,120.39,0.33129,80.28,50.876,2631.2,23.957,50.944,3100.9,23.628,65.811,230.24,340.88,94.709,77.095,31.94,8.9819,26.495,6.8894,19.275,1.6633,33.242,14.05,24.201,1.0786,19.407,2.2677,4.819,2.3197,0.0093464,0.82369,0.10495,53.948,43.716,62.51,53.668,29.555,62.529,21.953,39.439,40.678,48.718,47.776,41.089,16.518
17,0.28357,3693.4,4425.5,9.4405,27.293,42.216,2702.1,74.754,120.39,0.36437,80.24,51.417,2630.5,23.83,49.413,3100.5,23.177,65.831,230.86,341.12,94.667,77.461,31.849,8.9109,26.086,6.9575,19.194,1.6517,33.236,13.844,23.786,1.0969,18.58,2.2512,4.8578,2.32,0.0093464,0.82369,0.10495,53.948,43.716,62.663,53.739,27.83,60.943,22.085,43.23,42.271,45.175,47.906,40.873,17.56
18,0.28296,3647.8,4440.4,9.2861,26.48,42.341,2701.1,75.427,120.41,0.36493,80.202,49.502,2630.1,26.475,47.433,3099.7,21.929,65.87,230.12,341.14,94.616,77.181,31.849,8.9109,26.086,6.9575,19.194,1.6517,33.236,13.844,23.786,1.0969,18.58,2.2512,4.8578,2.32,0.0093464,0.82369,0.10495,53.948,43.716,63.447,53.561,27.89,61.285,21.922,43.162,36.635,40.593,48.158,40.951,20.54
19,0.29756,3646.3,4396,9.2772,26.958,42.569,2700.6,74.535,120.39,0.34065,79.929,50.104,2628.8,24.555,51.458,3098,23.274,65.82,230.42,341.4,94.721,77.138,32.093,8.9852,26.36,6.7844,19.206,1.6546,32.934,13.903,24.065,1.3533,18.764,2.2811,4.8583,2.3767,0.0093464,0.82369,0.10495,53.948,43.716,62.836,54.214,28.777,63.234,22.034,40.806,38.405,49.908,48.32,40.667,17.38
20,0.29566,3694.1,4471.9,9.3175,26.915,42.096,2703.2,74.682,120.4,0.33988,80.12,52.705,2632.5,25.722,49.69,3100.1,22.626,65.804,232.33,341.79,94.643,77.288,32.093,8.9852,26.36,6.7844,19.206,1.6546,32.934,13.903,24.065,1.3533,18.764,2.2811,4.8583,2.3767,0.0093464,0.82369,0.10495,53.948,43.716,62.014,53.305,28.964,62.348,22.389,40.9,46.06,45.817,48.34,41.396,18.9
21,0.27426,3706.6,4471.7,9.4051,26.984,42.173,2704.5,75.131,120.42,0.34999,80.282,50.708,2633.5,24.724,51.563,3101,22.171,65.827,231.84,342.19,94.488,77.712,32.283,8.9072,26.505,6.9189,18.736,1.6479,33.03,13.993,23.588,1.2936,18.653,2.231,4.9178,2.303,0.021657,0.83881,0.099604,53.917,43.8,63.328,53.205,26.871,59.977,22.598,41.303,40.184,50.152,47.842,41.249,19.938
22,0.2768,3713,4448.6,9.364,26.771,42.336,2704.5,75.188,120.44,0.34974,80.288,49.96,2633.4,25.096,49.375,3100.7,23.975,65.889,230.59,342.05,94.495,77.245,32.283,8.9072,26.505,6.9189,18.736,1.6479,33.03,13.993,23.588,1.2936,18.653,2.231,4.9178,2.303,0.021657,0.83881,0.099604,53.917,43.8,63.218,53.481,26.622,60.659,22.307,41.333,37.982,45.087,47.817,42.364,15.671
23,0.25603,3667.3,4529.4,9.377,26.703,42.062,2702.1,74.827,120.38,0.35912,80.098,49.549,2631,23.776,51.184,3098.3,22.023,65.865,229.96,342.39,94.606,77.364,32.29,8.7817,26.379,6.7744,18.776,1.6463,33.347,13.683,23.868,1.1553,18.739,2.248,4.9391,2.2751,0.021657,0.83881,0.099604,53.917,43.8,62.854,53.635,25.041,60.187,22.264,42.788,36.774,49.274,47.742,40.692,20.305
24,0.2548,3672.3,4516.4,9.3084,26.916,42.38,2701.9,74.541,120.4,0.35912,80.063,49.58,2630.6,24.27,48.941,3096.7,22.489,65.83,228.16,342.85,94.584,77.349,32.29,8.7817,26.379,6.7744,18.776,1.6463,33.347,13.683,23.868,1.1553,18.739,2.248,4.9391,2.2751,0.021657,0.83881,0.099604,53.917,43.8,62.766,53.791,25.161,62.027,22.606,42.788,36.863,44.083,47.773,40.902,19.203
25,0.25297,3691.7,4482.9,9.3426,27.287,42.39,2702.9,75.05,120.41,0.3263,80.243,47.631,2632.3,24.966,49.735,3098.9,21.991,65.827,230.74,342.37,94.548,77.276,32.016,8.7845,26.431,6.9297,18.602,1.6407,33.115,13.945,23.825,1.1773,18.518,2.2589,4.8752,2.3064,0.021657,0.83881,0.099604,53.917,43.8,63.735,54.099,25.01,60.693,22.602,38.514,31.129,45.92,47.412,41.646,20.381
26,0.2518,3733.7,4516.7,9.2769,26.998,42.415,2701.8,74.585,120.42,0.32633,80.159,50.083,2630.2,26.509,50.167,3098.7,22.355,65.832,230.45,342.02,94.433,77.381,32.016,8.7845,26.431,6.9297,18.602,1.6407,33.115,13.945,23.825,1.1773,18.518,2.2589,4.8752,2.3064,0.022467,0.85274,0.088417,53.871,43.912,63.011,53.694,25.125,60.324,22.528,38.51,38.343,46.921,47.686,41.464,19.508
27,0.2804,3650.5,4521.3,9.2589,27.11,42.678,2701.3,75.589,120.4,0.35559,80.143,49.008,2630.1,24.168,50.293,3097.5,23.026,65.815,229.33,342.05,94.631,77.617,32.33,8.8018,26.295,6.8938,18.786,1.6411,33.162,13.846,24.105,1.2606,18.565,2.2924,4.8515,2.2093,0.022467,0.85274,0.088417,53.871,43.912,63.109,54.081,27.606,63.977,22.441,41.958,35.181,47.212,47.82,41.241,17.895
28,0.28014,3663.7,4501.2,9.2425,27.41,42.826,2703.8,75.052,120.42,0.35556,80.391,50.045,2632.6,26.498,49.807,3100.2,22.267,65.871,230.38,342.21,94.519,77.404,32.33,8.8018,26.295,6.8938,18.786,1.6411,33.162,13.846,24.105,1.2606,18.565,2.2924,4.8515,2.2093,0.022467,0.85274,0.088417,53.871,43.912,62.881,54.321,27.633,62.798,22.542,41.962,38.233,46.088,47.758,40.823,19.692
29,0.2498,3694.5,4489.1,9.2771,26.871,42.187,2702.6,75.71,120.38,0.34235,80.21,49.984,2631,23.135,48.639,3097.9,23.071,65.884,229.49,342.21,94.657,76.945,32.316,8.8256,26.323,6.9653,18.882,1.669,33.117,13.927,23.342,1.0656,18.713,2.2308,4.8334,2.3845,0.022467,0.85274,0.088417,53.871,43.912,62.639,54.028,24.672,61.374,22.417,41.028,38.054,43.385,47.869,40.97,17.812
30,0.25235,3648.3,4488.5,9.4135,27.085,42.193,2700.7,75.204,120.4,0.34365,80.027,50.282,2629.5,26.206,51.315,3096.6,23.759,65.826,230.58,342.83,94.59,77.215,32.316,8.8256,26.323,6.9653,18.882,1.669,33.117,13.927,23.342,1.0656,18.713,2.2308,4.8334,2.3845,0.022467,0.85274,0.088417,53.871,43.912,63.433,54.035,24.422,62.299,22.389,40.869,38.931,49.578,47.807,40.956,16.178
31,0.25086,3652.4,4483.5,9.3219,26.691,42.601,2702.4,74.479,120.39,0.35423,80.286,50.367,2631.7,24.361,49.836,3097.1,23.217,65.827,231.95,342.39,94.598,77.463,32.641,9.0048,26.406,6.8631,18.347,1.6221,33.319,13.664,23.561,1.1408,18.353,2.2372,4.9091,2.2549,0.033894,0.84333,0.10668,53.537,43.096,62.691,53.85,24.544,59.867,22.423,41.832,39.18,46.155,48.094,40.844,17.432
32,0.25062,3646.3,4477.2,9.369,26.65,42.538,2699.2,74.451,120.4,0.35262,79.951,50.126,2627.4,22.204,49.643,3094.3,22.556,65.85,231.9,343.02,94.737,76.837,32.641,9.0048,26.406,6.8631,18.347,1.6221,33.319,13.664,23.561,1.1408,18.353,2.2372,4.9091,2.2549,0.033894,0.84333,0.10668,53.537,43.096,62.797,53.925,24.568,61.958,22.083,42.03,38.472,45.707,48.292,40.733,19.067
33,0.21473,3685.5,4557.4,9.3328,26.737,42.547,2699.1,75.355,120.39,0.32066,79.876,49.552,2628.1,24.765,50.269,3094.6,24.26,65.781,235.2,342.53,94.695,77.274,32.294,8.8587,26.061,6.9447,18.528,1.6459,33.236,13.855,23.722,1.2204,18.623,2.2934,4.839,2.3021,0.033894,0.84333,0.10668,53.537,43.096,62.988,54.306,21.338,62.396,22.197,38.844,36.78,47.157,48.2,40.63,15.01
34,0.21432,3669.4,4513,9.4341,26.713,42.329,2703.7,74.892,120.41,0.32492,80.244,50.129,2632.4,24.001,50.467,3099.3,22.899,65.803,232.44,342.44,94.487,77.834,32.294,8.8587,26.061,6.9447,18.528,1.6459,33.236,13.855,23.722,1.2204,18.623,2.2934,4.839,2.3021,0.033894,0.84333,0.10668,53.537,43.096,63.264,54.838,21.378,62.155,22.348,38.324,38.478,47.614,48.645,40.907,18.187
35,0.24908,3651.4,4513.5,9.3337,26.816,42.316,2705.2,75.25,120.41,0.34508,80.419,49.203,2634.2,26.184,51.397,3101.4,23.419,65.904,234.54,342.66,94.51,77.709,32.547,8.9568,26.724,6.8827,18.747,1.6525,33.478,13.908,23.637,1.2096,18.842,2.2875,4.7418,2.4012,0.033894,0.84333,0.10668,53.537,43.096,62.838,54.442,23.987,61.817,22.361,40.9,35.756,49.768,48.651,41.317,16.935
36,0.24578,3674.1,4498.3,9.3103,26.738,42.413,2703.2,75.554,120.41,0.3471,80.219,50.143,2631.9,24.116,50.147,3101.6,24.007,65.975,232.37,341.76,94.563,77.227,32.547,8.9568,26.724,6.8827,18.747,1.6525,33.478,13.908,23.637,1.2096,18.842,2.2875,4.7418,2.4012,0.01652,0.85054,0.095696,53.388,43.922,62.448,54.624,24.311,58.975,21.935,40.654,38.52,46.874,48.813,40.597,15.572
37,0.21889,3662.5,4525.6,9.3894,26.699,42.184,2703.8,74.323,120.41,0.34924,80.216,48.945,2633.3,26.5,49.47,3099.5,23.521,65.979,233.77,342.52,94.619,77.41,32.2,8.9291,26.404,6.7377,19.012,1.6398,32.855,13.762,23.6,1.2483,18.876,2.2881,4.8606,2.3459,0.01652,0.85054,0.095696,53.388,43.922,63.16,53.785,21.654,59.313,22.353,41.892,34.996,45.306,48.783,41.773,16.71
38,0.22012,3679.3,4525.3,9.3111,27.085,42.379,2703.5,74.813,120.39,0.35107,80.289,50.398,2633.2,25.792,49.411,3099,23.11,65.97,235.01,342.63,94.563,77.475,32.2,8.9291,26.404,6.7377,19.012,1.6398,32.855,13.762,23.6,1.2483,18.876,2.2881,4.8606,2.3459,0.01652,0.85054,0.095696,53.388,43.922,62.872,53.788,21.532,62.606,22.611,41.669,39.271,45.17,48.769,40.323,17.669
39,0.25078,3667.4,4463,9.4311,26.953,42.674,2703.5,75.783,120.42,0.33248,80.277,47.631,2632.5,25.077,50.783,3101,22.809,66.011,234.85,341.84,94.444,77.246,31.923,8.7124,26.77,6.8631,18.598,1.6697,33.089,13.591,23.645,1.3057,18.407,2.2444,4.9053,2.281,0.01652,0.85054,0.095696,53.388,43.922,64.416,53.866,24.739,60.594,22.18,40.039,31.128,48.347,48.876,42.002,18.396
40,0.24941,3717.9,4461.7,9.3527,26.741,42.127,2701.7,75.048,120.4,0.32921,80.175,49.415,2631.3,25.025,50.42,3098.4,23.398,66.017,233.84,342.38,94.488,77.409,31.923,8.7124,26.77,6.8631,18.598,1.6697,33.089,13.591,23.645,1.3057,18.407,2.2444,4.9053,2.281,0.01652,0.85054,0.095696,53.388,43.922,63.546,53.882,24.874,60.071,22.297,40.437,36.377,47.507,49.062,41.838,16.99
41,0.27837,3661.5,4487.2,9.4023,26.715,42.395,2701.4,75.264,120.4,0.31663,80.11,49.464,2629.9,23.493,50.654,3098.7,23.247,65.992,238.39,341.91,94.511,77.081,32.299,8.9284,26.616,6.8617,18.731,1.6769,33.096,13.653,24.006,1.2683,19.004,2.261,4.8962,2.3222,0.020051,0.83491,0.11293,53.123,43.455,63.494,54.587,27.566,63.436,22.063,37.193,36.524,48.047,48.955,41.324,17.38
42,0.27978,3642.7,4571.6,9.1733,26.967,42.417,2701.8,75.175,120.42,0.3121,79.924,51.075,2630,24.729,50.342,3099.7,22.936,65.946,236.21,342.02,94.485,77.082,32.299,8.9284,26.616,6.8617,18.731,1.6769,33.096,13.653,24.006,1.2683,19.004,2.261,4.8962,2.3222,0.020051,0.83491,0.11293,53.123,43.455,63.819,53.577,27.428,63.067,21.97,37.745,41.265,47.327,49.338,41.396,18.142
43,0.24272,3682.3,4503.3,9.3366,26.886,42.261,2703.4,74.598,120.4,0.32214,80.051,50.774,2633.4,26.501,51.607,3098.9,22.878,65.943,238.69,342.49,94.62,77.282,32.646,8.8323,26.583,7.097,19.11,1.6482,33.177,14.01,23.797,1.21,18.784,2.2693,4.8355,2.3002,0.020051,0.83491,0.11293,53.123,43.455,63.168,54.086,24.08,60.019,22.528,37.874,40.379,50.253,49.304,40.53,18.262
44,0.24398,3688.2,4526.8,9.2367,26.561,42.714,2706.1,74.55,120.42,0.31969,80.329,50.174,2635.4,24.334,48.65,3101.1,22.671,65.999,238.66,342.58,94.425,77.443,32.646,8.8323,26.583,7.097,19.11,1.6482,33.177,14.01,23.797,1.21,18.784,2.2693,4.8355,2.3002,0.020051,0.83491,0.11293,53.123,43.455,63.065,53.804,23.956,61.053,22.527,38.173,38.613,43.41,49.489,42.089,18.723
45,0.20604,3596.2,4523.4,9.317,26.544,41.916,2702.2,74.925,120.38,0.36294,80.153,50.544,2631.8,25.118,50.611,3097.9,23.37,66.052,236.16,342.61,94.659,77.187,32.645,8.9428,26.502,6.943,18.241,1.6488,33.194,13.811,23.715,1.3122,18.399,2.2439,4.9161,2.2283,0.020051,0.83491,0.11293,53.123,43.455,62.494,52.892,20.492,59.682,22.381,42.474,39.702,47.948,49.892,40.93,17.083
46,0.20582,3600.6,4503.5,9.2207,27.07,42.17,2703,74.279,120.39,0.36108,80.247,49.53,2631.5,24.26,48.958,3098.1,22.919,66.062,239.05,342.04,94.772,77.425,32.645,8.9428,26.502,6.943,18.241,1.6488,33.194,13.811,23.715,1.3122,18.399,2.2439,4.9161,2.2283,0.030317,0.82838,0.11077,53.679,42.619,62.418,53.131,20.514,63.213,22.522,42.701,36.717,44.122,49.429,40.758,18.135
47,0.2009,3670,4535.9,9.2958,26.827,42.187,2702.8,75.657,120.39,0.33919,80.129,49.461,2632.1,23.706,49.43,3098.5,22.714,66.054,239.38,342.46,94.73,77.448,32.603,8.7573,26.205,6.927,18.326,1.6331,33.216,13.81,23.514,1.2323,18.536,2.2546,4.9322,2.2669,0.030317,0.82838,0.11077,53.679,42.619,62.445,54.891,20.088,61.301,22.606,40.157,36.513,45.215,49.412,41.03,18.62
48,0.19972,3651,4558.9,9.4016,26.958,42.359,2703.3,74.239,120.38,0.33988,80.134,48.836,2632.1,23.352,49.391,3099.2,23.11,66.072,237.85,342.23,94.693,77.306,32.603,8.7573,26.205,6.927,18.326,1.6331,33.216,13.81,23.514,1.2323,18.536,2.2546,4.9322,2.2669,0.030317,0.82838,0.11077,53.679,42.619,62.771,54.616,20.204,61.08,22.274,40.072,34.674,45.125,49.561,40.911,17.693
49,0.2026,3691.6,4549.9,9.3966,27.158,42.288,2702.8,74.966,120.39,0.34071,80.037,50.503,2631.2,23.998,50.95,3099.5,22.895,66.035,238.5,341.94,94.706,77.273,32.303,8.81,26.239,6.7541,18.91,1.6571,33.139,13.818,23.987,1.3149,18.967,2.2338,4.8115,2.2766,0.030317,0.82838,0.11077,53.679,42.619,62.162,54.599,19.817,61.9,22.168,39.927,39.579,48.733,49.517,40.903,18.218
50,0.20178,3660.9,4519.6,9.2392,27.337,42.283,2705.5,74.358,120.39,0.33762,80.264,49.692,2633.9,26.013,49.461,3102.5,22.634,66.054,237.27,341.3,94.661,77.762,32.303,8.81,26.239,6.7541,18.91,1.6571,33.139,13.818,23.987,1.3149,18.967,2.2338,4.8115,2.2766,0.030317,0.82838,0.11077,53.679,42.619,62.691,54.961,19.897,62.961,22.244,40.304,37.194,45.286,49.64,40.682,18.788
51,0.22792,3719.7,4481.1,9.4462,27.094,42.549,2705.8,75.24,120.43,0.33875,80.411,49.32,2635.5,25.304,51.299,3103.6,22.24,66.119,236.82,341.04,94.464,77.308,32.187,8.9179,26.533,6.8151,18.542,1.6792,33.039,13.758,24,1.2992,18.414,2.2804,4.8396,2.2474,0.026841,0.82599,0.11586,53.797,43.478,63.236,54.014,22.508,61.183,22.286,40.363,36.099,49.541,49.516,41.771,19.742
52,0.22903,3705.8,4519.6,9.3041,26.906,42.346,2703.9,74.51,120.41,0.34053,80.274,49.878,2633.4,25.24,50.394,3102.7,22.965,66.128,238.22,340.93,94.517,77.392,32.187,8.9179,26.533,6.8151,18.542,1.6792,33.039,13.758,24,1.2992,18.414,2.2804,4.8396,2.2474,0.026841,0.82599,0.11586,53.797,43.478,63.474,53.553,22.399,61.39,22.036,40.146,37.74,47.446,49.323,41.619,18.011
53,0.23997,3687.6,4526.2,9.3205,26.702,42.591,2704.7,75.105,120.41,0.33382,80.337,50.148,2634,23.549,49.404,3102.6,23.458,66.117,236.17,341.28,94.491,77.302,32.594,8.8314,26.421,6.7385,18.843,1.6786,32.729,13.653,24.625,1.2145,18.592,2.2528,4.8548,2.3979,0.026841,0.82599,0.11586,53.797,43.478,63.344,54.388,23.41,60.587,22.228,39.313,38.535,45.155,49.442,41.219,16.837
54,0.23724,3675.5,4517.1,9.4018,26.715,42.305,2701.5,74.822,120.39,0.32927,80.06,50.359,2630.2,26.249,51.126,3100.6,22.333,66.098,237.32,340.81,94.43,76.902,32.594,8.8314,26.421,6.7385,18.843,1.6786,32.729,13.653,24.625,1.2145,18.592,2.2528,4.8548,2.3979,0.026841,0.82599,0.11586,53.797,43.478,63.552,54.497,23.678,59.476,21.753,39.868,39.156,49.139,49.275,41.138,19.556
55,0.19712,3725.3,4494.1,9.3345,27.102,42.537,2701.4,74.435,120.41,0.32314,80.135,50.628,2630,25.164,50.598,3099.3,23.32,66.035,237.34,340.87,94.528,77.345,32.203,8.7509,26.615,7.0276,19.063,1.6676,32.996,13.71,23.976,1.2284,18.291,2.2574,4.8403,2.2776,0.026841,0.82599,0.11586,53.797,43.478,63.466,54.047,19.456,59.999,22.24,37.629,39.949,47.919,49.213,41.723,17.188
56,0.19623,3705.6,4464.5,9.2749,26.635,42.097,2700.3,74.947,120.41,0.32092,80.216,48.942,2629.8,23.051,50.922,3097.9,22.966,66.03,236.68,341.01,94.477,77.488,32.203,8.7509,26.615,7.0276,19.063,1.6676,32.996,13.71,23.976,1.2284,18.291,2.2574,4.8403,2.2776,0.021176,0.82676,0.087051,53.453,44.329,63.804,54.401,19.543,62.991,22.015,37.9,34.986,48.668,49.133,41.462,18.016
